zone31	北京天安门、王府井地区酒店
zone651	北京中关村、五道口酒店
zone767	北京国贸地区酒店
zone44	北京首都机场、新国展地区酒店
zone41	北京西单、金融街地区酒店
zone133	北京东直门、工体、雍和宫地区酒店
zone138	北京亚运村、奥体中心地区酒店
zone37	北京燕莎、三里屯商业区酒店
zone40	北京西直门及北京展览馆地区酒店
zone136	北京北京西站、丽泽商务区酒店
zone36	北京公主坟、五棵松、石景山游乐园地区酒店
zone32	北京前门、崇文门商贸区酒店
zone654	北京望京、酒仙桥、798地区酒店
zone47	北京永定门、南站、大红门、南苑地区酒店
zone135	北京北京站、建国门地区酒店
zone147	北京劲松、潘家园地区酒店
zone137	北京国展中心地区酒店
zone650	北京马甸、安贞地区酒店
zone900	北京小汤山温泉度假区酒店
zone13572	北京上地产业园、西三旗酒店
zone653	北京亦庄地区酒店
zone903	北京总部基地、丰台体育中心、南宫地区酒店
zone652	北京后海、南锣鼓巷地区酒店
zone894	北京密云风景区酒店
zone889	北京大兴农业生态观光区酒店
zone891	北京果园环岛、通州区酒店
zone899	北京香山、八大处风景区酒店
zone892	北京怀柔风景区酒店
zone897	北京顺义温泉休闲区酒店
zone896	北京十三陵水库、居庸关长城风景区酒店
zone888	北京传媒大学、管庄地区酒店
zone890	北京房山风景区酒店
zone901	北京延庆休闲度假区酒店
zone893	北京欢乐谷游乐区酒店
zone898	北京门头沟、潭柘寺、妙峰山风景区酒店
zone895	北京平谷城区酒店
